url,word_count,sentence_count,flesch_reading_ease,is_thin,quality_label
https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,0,0,0.0,1,Low
https://aws.amazon.com/what-is/deep-learning/,2219,136,37.62,0,Medium
https://developers.google.com/search/docs/fundamentals/seo-starter-guide,4178,174,54.39,0,High
https://digitalmarketinginstitute.com/blog/what-is-seo,236,10,25.87,1,Low
https://www.coursera.org/articles/content-strategy,1570,72,43.36,0,Medium
https://www.youtube.com/creators/how-things-work/content-creation-strategy/,866,39,60.03,0,Medium
https://digitalmarketinginstitute.com/blog/what-are-the-most-effective-digital-marketing-strategies,116,5,12.63,1,Low
https://emotive.io/blog/11-essential-digital-marketing-tips,2394,115,44.18,0,Medium
https://www.forbes.com/advisor/business/what-is-digital-marketing/,2634,133,37.64,0,Medium
https://blog.hubspot.com/marketing/what-is-digital-marketing,8991,494,48.86,0,Medium
https://www.investopedia.com/terms/s/seo.asp,0,0,0.0,1,Low
https://mailchimp.com/marketing-glossary/content-marketing/,2440,137,49.97,0,Medium
https://sproutsocial.com/insights/social-media-marketing-strategy/,10609,469,39.91,0,Medium
https://www.shopify.com/blog/ecommerce-seo-beginners-guide,5426,298,54.97,0,High
https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF,0,0,0.0,1,Low
https://www.woot.com/,165,16,62.55,1,Low
https://www.shopmissa.com/?srsltid=AfmBOoqr-F6zzKR-vGPqksAZp1wW4niXlINdN2eAREiMVNtHez_0-gAB,1784,1,-1707.35,0,Low
https://martie.com/?srsltid=AfmBOoqTEC0QXQ3xYEvV1VWP6OX6EZboYFZDuiiilhyLfDJNbuXIZ97r,1692,17,5.16,0,Low
https://www.dealsofamerica.com/,1982,124,61.58,0,High
https://www.dealnews.com/,3874,122,47.92,0,Medium
https://viewyourdeal.com/,550,31,83.77,0,Medium
https://americasstealsanddeals.com/,834,82,81.78,0,Medium
https://www.pricegrabber.com/,60,7,67.01,1,Low
https://www.wikihow.com/Make-Money-Online,302,21,59.46,1,Low
https://en.wikipedia.org/wiki/Search_engine_optimization,6081,513,49.52,0,Medium
https://simple.wikipedia.org/wiki/Search_engine_optimization,1195,82,49.25,0,Medium
https://en.wikipedia.org/wiki/Content_marketing,3511,250,43.84,0,Medium
https://simple.wikipedia.org/wiki/Content_marketing,440,23,42.83,1,Low
https://en.wikipedia.org/wiki/Machine_learning,17874,1511,36.82,0,Medium
https://simple.wikipedia.org/wiki/Machine_learning,1727,80,9.65,0,Low
https://en.wikipedia.org/wiki/Artificial_intelligence,34030,3210,45.2,0,Medium
https://simple.wikipedia.org/wiki/Artificial_intelligence,3440,159,19.29,0,Low
https://en.wikipedia.org/wiki/Digital_marketing,10745,931,40.9,0,Medium
https://simple.wikipedia.org/wiki/Digital_marketing,312,14,28.57,1,Low
https://www.reuters.com/technology/artificial-intelligence/,0,0,0.0,1,Low
https://www.cnbc.com/artificial-intelligence/,0,0,0.0,1,Low
https://www.bbc.com/news/topics/c404v061z99t,0,0,0.0,1,Low
https://www.theguardian.com/technology/artificialintelligenceai,392,5,6.83,1,Low
https://apnews.com/hub/artificial-intelligence,556,6,-35.12,0,Low
https://abcnews.go.com/alerts/technology,2142,67,43.65,0,Medium
